INTAKEID,RECVDATE,AE_CATEGORY,AE_SHORT,ADVERSE_EVENT,FINDING_DETAIL,ASPEN_FACID,NAME,ASPEN_FACTYPE_LABEL,LAT,LON
CA00845196,12-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000134,SUTTER ROSEVILLE MEDICAL CENTER,General Acute Care Hospital,38.766168,-121.249359
CA00897822,1-May-24,06 - Criminal Events,26: Sexual Assault,26: Sexual Assault on a Patient Within or on the Grounds of a Health Facility,Unsubstantiated,CA220000029,UCSF HEALTH HYDE HOSPITAL,General Acute Care Hospital,37.789632,-122.4165555
CA00912778,1-Aug-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",General Acute Care Hospital,38.5709021,-121.4694505
CA00933715,4-Dec-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Unsubstantiated,CA050000014,COMMUNITY MEMORIAL HOSPITAL - VENTURA,General Acute Care Hospital,34.274592,-119.2581045
CA00935669,17-Dec-24,06 - Criminal Events,26: Sexual Assault,26: Sexual Assault on a Patient Within or on the Grounds of a Health Facility,Unsubstantiated,CA030000796,SUTTER CENTER FOR PSYCHIATRY,Acute Psychiatric Hospital,38.549844,-121.4145135
CA00831930,20-Mar-23,01 - Surgical Events,01: Surgery Wrong Body Part,"01: Surgery Performed on a Wrong Body Part, Inconsistent with Informed Consent",Substantiated with deficiencies,CA050000021,MARIAN REGIONAL MEDICAL CENTER,General Acute Care Hospital,35.113464,-120.590532
CA00935527,16-Dec-24,03 - Patient Protection Events,11: Suicide,11: Patient Suicide or Attempted Suicide Resulting in Serious Disability After Admission,Substantiated without deficiencies,CAA23000014,OROVILLE HOSPITAL,General Acute Care Hospital,39.506967,-121.5412965
CA00921842,23-Sep-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030001506,SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF,General Acute Care Hospital,38.553012,-121.45545
CA00844285,8-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Unsubstantiated,CA040000095,CLOVIS COMMUNITY MEDICAL CENTER,General Acute Care Hospital,36.839106,-119.660427
CA00881157,23-Jan-24,07 - Other,28: Adverse Event Series			,28: Adverse Event/Series of Adverse Events Caused the Death/Serious Disability of a Patient/Personnel/Visitor,Substantiated without deficiencies,CA930000002,CALIFORNIA HOSPITAL MEDICAL CENTER LA,General Acute Care Hospital,34.03746,-118.2658005
